역명,도로명주소
군자,서울특별시 광진구 천호대로 지하550(능동)
어린이대공원,서울특별시 광진구 능동로 지하210(화양동)
건대입구,서울특별시 광진구 능동로 지하110(화양동)
뚝섬유원지,서울특별시 광진구 능동로 10(자양동)
청담,서울특별시 강남구 학동로 지하508(청담동)
강남구청,서울특별시 강남구 학동로 지하346(삼성동)
학동,서울특별시 강남구 학동로 지하180(논현동)
논현,서울특별시 강남구 학동로 지하102(논현동)
반포,서울특별시 서초구 신반포로 지하241(잠원동)
고속터미널,서울특별시 서초구 신반포로 지하188(반포동)
내방,서울특별시 서초구 서초대로 지하103(방배동)
이수,서울특별시 동작구 사당로 지하310(사당동)
남성,서울특별시 동작구 사당로 지하218(사당동)
숭실대입구,서울특별시 동작구 상도로 지하378(상도동)
상도,서울특별시 동작구 상도로 지하272(상도1동)
장승배기,서울특별시 동작구 상도로 지하188(상도동) 
신대방삼거리,서울특별시 동작구 상도로 지하76(대방동)
보라매,서울특별시 동작구 상도로 지하2(대방동)
신풍,서울특별시 영등포구 신풍로 지하27(신길동)
대림,서울특별시 영등포구 도림로 지하137(대림동)
남구로,서울특별시 구로구 도림로 지하7(구로동) 
가산디지털단지,서울특별시 금천구 벚꽃로 309(가산동)
철산,경기도 광명시 철산로 지하13(철산동)
광명사거리,경기도 광명시 오리로 지하980(광명동)
천왕,서울특별시 구로구 오리로 지하1154(천왕동)
온수,서울특별시 구로구 경인로3길 지하64(온수동)
암사,서울특별시 강동구 올림픽로 지하776(암사동)
천호,서울특별시 강동구 천호대로 지하997(천호동)
강동구청,서울특별시 강동구 올림픽로 지하550(성내동)
몽촌토성,서울특별시 송파구 올림픽로 지하383(신천동)
잠실,서울특별시 송파구 올림픽로 305(신천동)
석촌,서울특별시 송파구 송파대로 지하439(석촌동)
송파,서울특별시 송파구 송파대로 지하354(가락동)
가락시장,서울특별시 송파구 송파대로 지하257(가락동)
문정,서울특별시 송파구 송파대로 지하179(문정동)
장지,서울특별시 송파구 송파대로 지하82(장지동)
복정,서울특별시 송파구 송파대로 지하6(장지동)
남위례,경기도 성남시 수정구 공원로 601(복정동)
산성,경기도 성남시 수정구 수정로 지하365(신흥동)
남한산성입구,경기도 성남시 수정구 산성대로 지하445(단대동)
단대오거리,경기도 성남시 수정구 산성대로 지하365(신흥동)
신흥,경기도 성남시 수정구 산성대로 지하280(신흥동)
수진,경기도 성남시 수정구 산성대로 지하200(수진동)
모란,경기도 성남시 수정구 산성대로 지하100(수진동)
언주,서울특별시 강남구 봉은사로 지하201(논현동)
선정릉,서울특별시 강남구 선릉로 지하580(삼성동)
삼성중앙,서울특별시 강남구 봉은사로 지하501(삼성동)
봉은사,서울특별시 강남구 봉은사로 지하601(삼성동)
종합운동장,서울특별시 송파구 올림픽로 49(잠실동)
삼전,서울특별시 송파구 백제고분로 지하189(잠실동)
석촌고분,서울특별시 송파구 백제고분로 지하274(삼전동)
석촌,서울특별시 송파구 송파대로 지하439(석촌동)
송파나루,서울특별시 송파구 백제고분로 지하446(방이동)
한성백제,서울특별시 송파구 위례성대로 지하29(방이동)
올림픽공원,서울특별시 송파구 양재대로 지하1233(방이동)
둔촌오륜,서울특별시 강동구 강동대로 지하303(둔촌동)
중앙보훈병원,서울특별시 강동구 동남로 지하625(둔촌동)
가능,경기도 의정부시 평화로 633
가산디지털단지,서울특별시 금천구 벚꽃로 309
간석,인천광역시 남동구 석정로 522-14
개봉,서울특별시 구로구 경인로40길 47
관악,경기도 안양시 만안구 경수대로1273번길 46
광명,경기도 광명시 광명역로 21
광운대,노원구 석계로 98-2
구로,서울특별시 구로구 구로중앙로 174
구일,서울시 구로구 구일로 133
군포,경기도 군포시 군포역1길 27  
금정,경기도 군포시 군포로 750(금정동)
금천구청,서울특별시 금천구 시흥대로63길 91  
남영,서울특별시 용산구 한강대로77길 25  
노량진,서울특별시 동작구 노량진로 151  
녹양,경기도 의정부시 평화로 757
녹천,서울특별시 도봉구 덕릉로 376
당정,경기도 군포시 당정역로 91
대방,서울특별시 영등포구 여의대방로 300
덕계,경기도 양주시 덕계로 126
덕정,경기도 양주시 화합로 1356
도봉,서울특별시 도봉구 도봉로 170길 2
도봉산,서울특별시 도봉구 도봉로 948
도원,인천광역시 동구 참외전로 245번지
도화,인천광역시 미추홀구 숙골로 24번길 9
독산,서울특별시 금천구 벚꽃로115
동두천,경기도 동두천시 평화로 2687(동두천역)
동두천중앙,경기도 동두천시 동두천로 228
동암,인천부평구 동암광장로 10
동인천,인천광역시 중구 참외전로 121 
두정,충청남도 천안시 서북구 두정로 289  
망월사,경기도 의정부시 평화로 221
명학,경기도 안양시 만안구 안안로 20
방학,서울시 도봉구 방학동 728
배방,충청남도 아산시 배방읍 온천대로 1967  
백운,인천광역시 부평구 마장로 55번길 14
병점,경기도 화성시 떡전골로 97
보산,경기도 동두천시 평화로 2539
봉명,충청남도 천안시 동남구 차돌로 51
부개,인천광역시 부평구 수변로 22  
부천,경기도 부천시 부천로 1
부평,인천광역시 부평구 광장로 16
서동탄,경기도 오산시 외삼미로 15번길 75-60
서정리,경기도 평택시 탄현로51
석계,서울특별시 노원구 화랑로 341
석수,경기도 안양시 만안구 경수대로 1431
성균관대,경기도 수원시 장안구 서부로 2149  
성환,충청남도 천안시 서북구 성환읍 성환1로 237-5  
세류,경기도 수원시 권선구 정조로 393-1(정자동 세류역사)  
세마,경기도 오산시 세마역로 88
소사,경기도 부천시 소사구 경인로 363
소요산,경기도 동두천시 평화로 2925
송내,경기도 부천시 소사구 송내대로 43  
송탄,경기도 평택시 송탄공원로 43
수원,경기도 수원시 팔달구 덕영대로 944 924 애경백화점  
신길,서울특별시 영등포구 영등포로 327  
신도림,서울특별시 구로구 새말로 117-21  
신이문,서울특별시 동대문구 한천로 472
신창,충남 아산시 신창면 행목로 50  
쌍용,충청남도 천안시 서북구 쌍용19로 20
아산,충청남도 아산시 배방읍 희망로 90
안양,경기도 안양시 만안구 만안로 232
양주,경기도 양주시 평화로 919
역곡,경기도 부천시 역곡로 1
영등포,서울특별시 영등포구 경인로 846
오류동,서울시 구로구 경인로 20길 13
오산,경기도 오산시 역광장로 59
오산대,경기도 오산시 청학로 236
온수,서울시 구로구 부일로 872
온양온천,충청남도 아산시 온천대로 1496  
외대앞,서울특별시 동대문구 휘경로 27  
용산,서울 용산구 한강대로23길 55
월계,서울시 노원구 월계로 53길 40
의왕,경기도 의왕시 철도박물관로 66  
의정부,경기도 의정부시 평화로 525
인천,인천광역시 중구 제물량로 269
제물포,인천광역시 미출홀구 경인로 129
주안,인천광역시 남구 주안로 95-19  
중동,경기도 부천시 소사구 중동로 73
지행,경기도 동두천시 평화로 2285
직산,충청남도 천안시 서북구 직산읍 천안대로 1471-33  
진위,경기도 평택시 진위면 경기대로 1855
창동,서울특별시 도봉구 마들로 11길 77(창동역 1호선)
천안,충청남도 천안시 동남구 대흥로 239
탕정,충남 아산시 탕정면 한들물빛6로 11
평택,경기도 평택시 평택로 51
지제,경기도 평택시 경기대로 777
화서,경기도 수원시 팔달구 덕영대로 692  
회기,서울특별시 동대문구 회기로 196
회룡,경기도 의정부시 평화로 363(회룡역)
대곡,경기도 교양시 대주로 107번길 71-81
대화,경기 고양시 일산서구 중앙로 1569
마두,경기도 고양시 일산동구 중앙로 지하 1180
백석,경기도 고양시 일산동구 중앙로 1042 (백석동) 백석역
삼송,경기도 고양시 덕양구 삼송로 194 삼송역
원당,경기도 고양시 덕양구 고양대로 1429 원당역
원흥,"경기도 고양시 덕양구 권율대로 681 (원흥동, 원흥역) 원흥역"
정발산,경기도 고양시 일산동구 중앙로 1270  
주엽,"경기도 고양시 일산서구 중앙로 1432 (주엽동, 주엽역) 주엽역"
화정,경기도 고양시 덕양구 화정로 60
경마공원,경기도 과천시 경마공원대로 지하105
고잔,경기도 안산시 단원구 중앙대로 784
과천,경기도 과천시 별양로 지하 177
금정,경기도 군포시 군포로 750(금정동)
대공원,경기도 과천시 대공원대로 50
대야미,군포시 대야1로 28번
반월,경기도 안산시 상록구 건건로 119-10
범계,경기도 안양시 동안구 동안로 지하 130
산본,경기도 군포시 번영로 504 (산본동)
상록수,경기도 안산시 상록수 상록수로 61
선바위,경기도 과천시 중앙로 440
수리산,경기도 군포시 번영로 385
신길온천,경기도 안산시 단원구 황고개로 2
안산,경기도 안산시 단원구 중앙대로 462
오이도,경기도 시흥시 역전로 430  
인덕원,경기도 안양시 동안구 흥안대로 529
정부과천청사,경기도 과천시 중앙로 지하 100(별양동)
정왕,경기도 시흥시 마유로 418번길 15
중앙,경기도 안산시 단원구 중앙대로 918
초지,경기도 안산시 단원구 중앙대로 620
평촌,경기도 안양시 동안구 부림로 지하 123
한대앞,경기도 안산시 상록구 충장로 337
가천대,경기도 성남시 수정구 성남대로 1332
강남구청,서울특별시 강남구 학동로 346
개포동,서울시 강남구 개포로 지하420
고색,경기도 수원시 권선구 매송고색로 지하 690
고잔,경기도 안산시 단원구 중앙대로 784
구룡,서울특별시 강남구 개포로 지하 403
구성,경기도 용인시 기흥구 용구대로 2403(마북동460-3)
기흥,경기도 용인시 기흥구 중부대로 460
남동인더스파크,인천광역시 남동구 은청로 17
달월,경기도 시흥시 서해안로 736번길 55
대모산입구,서울시 강남구 개포로 522
도곡,서울특별시 강남구 남부순환로 2814  
망포,경기도 수원시 영통구 덕영대로 지하 1520
매교,경기도 수원시 팔달구 효원로 126
매탄권선,경기도 수원시 영통구 권선로 841
모란,경기도 성남시 중원구 성남대로 지하 1147  
미금,경기도 성남시 분당구 성남대로 156
보정,경기도 용인시 기흥구 용구대로 2560
복정,서울특별시 송파구 송파대로 6
사리,경기도 안산시 상록구 충장로 103
상갈,경기도 용인시 기흥구 금화로 40
서울숲,서울특별시 성동구 왕십리로 77
서현,경기도 성남시 분당구 성남대로 지하601
선릉,서울특별시 강남구 테헤란로 지하340
선정릉,서울시 강남구 선릉로 지하580(삼성동 111-114)
소래포구,인천시 남동구 소래역로 51번길
송도,인천광역시 연수구 비류대로 175 송도역
수내,경기도 성남시 분당구 성남대로 지하491
수서,서울특별시 강남구 광평로 지하270 지하1층(수서동)
수원,경기도 수원시 팔달구 덕영대로 944 924 애경백화점  
수원시청,경기도 수원시 권선구 효원로 270
숭의,인천시 미추홀구 인주대로 지하 6
신갈,경기도 용인시 기흥구 기흥로 136  
신길온천,경기도 안산시 단원구 황고개로 2 
신포,인천시 중구 우현로 지하 3 (사동)
안산,경기도 안산시 단원구 중앙대로 462
압구정로데오,서울시 강남구 압구정로 지하 402
야목,경기도 화성시 매송면 본오매송로 286
야탑,경기도 성남시 분당구 성남대로 지하 903
어천,경기도 화성시 매송면 어천역길 8(어천리)
연수,인천시 연수구 벚꽃로 115
영통,경기도 수원시 영통구 봉영로 1560
오리,경기도 성남시 분당구 성남대로 55
오목천,경기도 수원시 권선구 삼천병마로 지하1570
오이도,경기도 시흥시 역전로 430
왕십리,서울특별시 성동구 왕십리광장로 18
원인재,인천광역시 연수구 벚꽂로 195
월곶,경기도 시흥시 월곶중앙로 14번길 56
이매,경기도 성남시 분당구 성남대로 지하738(이매동)
인천,인천광역시 중구 제물량로 269
인천논현,인천광역시 남동구 청능대로 567
인하대,인천시 미추홀구 독배로 313
정왕,경기도 시흥시 마유로418번길 15
정자,경기도 성남시 분당구 성남대로 333
죽전,경기도 용인시 수지구 포은대로 530
중앙,경기도 안산시 단원구 중앙대로 918
청량리,서울특별시 동대문구 왕산로 214
청명,수원시 영통구 봉영로  1670
초지,경기도 안산시 단원구 중앙대로 620
태평,경기도 성남시 수정구 성남대로 1229
한대앞,경기도 안산시 상록구 충장로 337
한티,서울특별시 강남구 선릉로 228 지하1층
호구포,인천광역시 남동구 호구포로 205
가평,경기도 가평군 가평읍 문화로 13-42
갈매,구리시 경춘북로 229
강촌,강원도 춘천시 남산면 강촌로 150
광운대,서울특별시 노원구 석계로 98-2
굴봉산,강원도 춘천시 남산면 서백길 192
금곡,경기도 남양주시 금곡로19번길 47(금곡동)
김유정,강원도 춘천시 신동면 김유정로 1435
남춘천, 춘천시 영서로 2260
대성리,경기도 가평군 청평면 경춘로88
마석,경기도 남양주시 화도읍 마석중앙로 107
망우,서울특별시 중랑구 망우로 55길 11-10
백양리,강원도 춘천시 남산면 북한강변길 690
별내,경기도 남양주시 경춘북로 375(별내동 182-5)
사릉,경기도 남양주시 진건우회로63 사릉역
상봉,서울특별시 중랑구 망우로 297
상천,경기도 가평군 청평면 상천역로29
신내,서울특별시 중랑구 신내역로 20
중랑,서울특별시 중랑구 중랑역로 9
천마산,경기도 남양주시 화도읍 묵현로 25번길 37(묵현리)
청량리,서울특별시 동대문구 왕산로 214
청평,경기도 가평군 청평면 청평리 청평역로 97-33
춘천,강원도 춘천시 공지로 591
퇴계원,경기도 남양주시 퇴계원면 경춘북로 545
평내호평,경기도 남양주시 경춘로 1375(평내동)
회기,서울특별시 동대문구 회기로 196
가좌,서울시 서대문구 수색로 27
강매,"경기도 고양시 덕양구 소원로202 (행신동,강매역사)"
곡산,경기도 고양시 일산동구 경의로 160
공덕,서울특별시 마포구 마포대로 92  
구리,경기도 구리시 건원대로 34번길 32-29
국수,경기도 양평군 양서면 국수역길 45
금릉,경기도 파주시 금릉역로 85
금촌,경기도 파주시 새꽃로 193번지
능곡,경기도 고양시 덕양구 토당로 35
대곡,경기도 교양시 대주로 107번길 71-82
덕소,경기도 남양주시 와부읍 덕소로 56
도농,경기도 남양주시 경춘로 433  
도라산,경기도 파주시 장단면 희망로 307(노상리)
도심,경기도 남양주시 와부음 덕소로 237
디지털미디어시티,서울특별시 은평구 수색로 193
망우,서울특별시 중랑구 망우로 55길 11-10
문산,경기도 파주시 문산읍 문산역로 94
백마,고양시 일산동구 경의로 318
상봉,서울시 중랑구 망우로 297
서강대,서울특별시 마포구 서강로 118(지하)
서빙고,서울특별시 용산구 서빙고로 238
서울역,서울시 중구 통일로 1
수색,서울특별시 은평구 수색로 261-1  
신원,경기도 양평군 양서면 신원역길7
신촌,서울특별시 서대문구 신촌역로 30
아신,경기도 양평군 옥천면 아신역1길 23
야당,경기도 파주시 소리천로 100
양수,경기도 양평군 양서면 목왕로 55-10
양원,서울시 중랑구 송림길 147
양정,경기도 남양주시 경강로 237  
양평,경기도 양평군 양평읍 역전길 30
오빈,경기도 양평군 양평읍 덕바위길 58
옥수,서울특별시 성동구 동호로21
왕십리,서울특별시 성동구 왕십리광장로 17
용문,경기도 양평군 용문면 용문역길 21
용산,서울특별시 용산구 한강대로 23길 55
운길산,경기도 남양주시 조안면 운길산로 20
