관광지명,도로명주소,lat,lng,분류,Unnamed: 0
활판공방,경기도 파주시 문발로 203,37.7126225579,126.6865517007,문화,
엘비스프레스리기념관,경기도 파주시 광탄면 보광로920번길 30,37.7772342014,126.8836321963,문화,
한강물환경생태관,경기도 양평군 양서면 두물머리길68번길 42,37.5404377577,127.3132268044,문화,
안성마춤유기공방,경기도 안성시 중앙로 448,37.006006318,127.2764955416,문화,
3·1운동기념관,경기도 안성시 원곡면 만세로 868,37.0627792532,127.175286557,문화,
성호기념관,경기도 안산시 상록구 성호로 131,37.3150945491,126.8595842753,문화,
누에섬등대전망대,경기도 안산시 단원구 대부황금로 17-156,37.1866361754,126.6314801376,문화,
코리아디자인센터,경기도 성남시 분당구 양현로 322 코리아디자인센터,37.4131083295,127.1232565127,문화,
김교각기념관,경기도 남양주시 와부읍 석실로율석안길 167 백천사,37.6251331075,127.2313538018,문화,
물환경전시관,경기도 광주시 남종면 산수로 1692,37.499589449,127.3030107656,문화,
오리이원익기념관,경기도 광명시 오리로 287,37.4285174082,126.8805010378,문화,
한국기독교순교자기념관,경기도 용인시 처인구 양지면 추계로 235,37.2579367546,127.3025817416,문화,
국립현대미술관 과천,경기도 과천시 광명로 313,37.4309778122,127.0199705127,문화,
가원미술관,경기도 과천시 새빛로 24,37.4239601975,126.9992197712,문화,
김내현화랑,경기도 고양시 덕양구 내유길 265,37.7275154029,126.8662057032,문화,
롯데갤러리 일산점,경기도 고양시 일산동구 중앙로 1283 롯데백화점 일산점 별관 B1F,37.6604725838,126.7720959057,문화,
가일미술관,경기도 가평군 청평면 북한강로 1549,37.6604125811,127.3794340349,문화,
